90 -98.5158 202.628 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
91 -136.816 234.856 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
92 -120.52 214.652 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
93 -79.9057 149.26 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
94 -144.348 263.693 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
95 -153.426 252.476 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
96 -99.0274 185.947 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
97 -181.02 303.864 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
98 -115.098 210.127 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
99 -112.519 197.421 -9.9908,1 23 124,0.86254 0.08388 0.31715,0.83544 -0.079835 0.3152,0.70148 0.026525 0.30401
